virus pdb plddt pre_TM post_TM
CHAV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 66.9 0.9103 0.2756
CHAV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 67.9 0.9089 0.2719
CHAV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 67.1 0.9205 0.2334
CHAV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 67.2 0.8760 0.2848
CHAV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 67.1 0.8561 0.2136
CHAV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 67.9 0.8672 0.2853
CHAV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 67.8 0.8806 0.2026
CHAV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 67.4 0.9037 0.2703
CHAV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 68.6 0.9094 0.2440
CHAV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 66.9 0.8598 0.2794
CHAV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 67.6 0.8337 0.2619
CHAV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 67.9 0.8410 0.2307
CHAV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 68.2 0.8521 0.2482
CHAV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 65.2 0.9140 0.2749
CHAV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 68.8 0.9082 0.2851
CHAV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 67.9 0.9183 0.2449
CHAV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 65.9 0.9124 0.2852
CHAV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 65.2 0.9068 0.2217
CHAV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 66.7 0.9191 0.2133
MACV rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb 65.6 0.7892 0.2460
MACV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 65.4 0.3805 0.3127
MACV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 57.1 0.8398 0.2465
